LITTLE TALKS,OF MONSTERS AND MEN,0,1,07/01/14 22:29,
GUNS&AMMUNITION,JULY TALK,0,1,07/01/14 22:33,
DRIVE,R.E.M.,0,1,07/01/14 22:37,
DRIVE,R.E.M.,0,1,07/01/14 22:41,
IT'S ABOUT TIME,YOUNG THE GIANT,0,1,07/01/14 22:45,
HEAVEN KNOWS,THE PRETTY RECKLESS,0,1,07/01/14 22:49,
HEAVEN KNOWS,THE PRETTY RECKLESS,0,1,07/01/14 22:53,
SOUR GIRL,STONE TEMPLE PILOTS,0,1,07/01/14 22:57,
TAKE IT ON FAITH,MATT MAYS,0,1,07/01/14 23:01,
GLYCERINE,BUSH,0,1,07/01/14 23:05,
MADNESS,MUSE,0,1,07/01/14 23:09,
LOST IN YOU,THREE DAYS GRACE,0,1,07/01/14 23:13,
FOREVER,HAIM,0,1,07/01/14 23:17,
PIECES,SUM 41,0,1,07/01/14 23:21,
THE DOG IS MINE,K-OS,0,1,07/01/14 23:25,
USED TO BE ALRIGHT,I MOTHER EARTH,0,1,07/01/14 23:29,
USED TO BE ALRIGHT,I MOTHER EARTH,0,1,07/01/14 23:33,
SIMPLY SIMPLE,MOTHER MOTHER,0,1,07/01/14 23:37,
SIMPLY SIMPLE,MOTHER MOTHER,0,1,07/01/14 23:41,
DRIVE,INCUBUS,0,1,07/01/14 23:45,
OUT OF MY HEAD,JUNKHOUSE,0,1,07/01/14 23:49,
STAND UP AND RUN,BILLY TALENT,0,1,07/01/14 23:53,
AUTOMATIC FLOWERS,OUR LADY PEACE,0,1,07/01/14 23:57,
AUTOMATIC FLOWERS,OUR LADY PEACE,0,1,08/01/14 00:01,
GET LUCKY,DAFT PUNK,0,1,08/01/14 00:05,
DO I WANNA KNOW?,ARCTIC MONKEYS,0,1,08/01/14 00:09,
BRASS MONKEY,BEASTIE BOYS,0,1,08/01/14 00:13,
STADIUM LOVE,METRIC,0,1,08/01/14 00:17,
SELF ESTEEM,THE OFFSPRING,0,1,08/01/14 00:21,
SELF ESTEEM,THE OFFSPRING,0,1,08/01/14 00:25,
I SAT BY THE OCEAN,QUEENS OF THE STONE AGE,0,1,08/01/14 00:29,
HEAVEN KNOWS,THE PRETTY RECKLESS,0,1,08/01/14 20:51,
HEAVEN KNOWS,THE PRETTY RECKLESS,0,1,08/01/14 20:55,
THE HAND THAT FEEDS,NINE INCH NAILS,0,1,08/01/14 20:59,
GOING WITH YOU,SEBASTIEN GRAINGER,0,1,08/01/14 21:03,
GOING WITH YOU,SEBASTIEN GRAINGER,0,1,08/01/14 21:07,
HO HEY,THE LUMINEERS,0,1,08/01/14 21:11,
LITHIUM,NIRVANA,0,1,08/01/14 21:15,
IT'S ABOUT TIME,YOUNG THE GIANT,0,1,08/01/14 21:19,
IT'S ABOUT TIME,YOUNG THE GIANT,0,1,08/01/14 21:23,
WE STILL NEED A SONG,HAWKSLEY WORKMAN,0,1,08/01/14 21:27,
COME OUT&PLAY,THE OFFSPRING,0,1,08/01/14 21:31,
MOTHER,SAID THE WHALE,0,1,08/01/14 21:35,
MOTHER,SAID THE WHALE,0,1,08/01/14 21:39,
YELLOW,COLDPLAY,0,1,08/01/14 21:43,
FOREVER,HAIM,0,1,08/01/14 21:47,
FOREVER,HAIM,0,1,08/01/14 21:51,
DO I WANNA KNOW?,ARCTIC MONKEYS,0,1,08/01/14 21:55,
BIT BY BIT,MOTHER MOTHER,0,1,08/01/14 21:59,
RADIOACTIVE,IMAGINE DRAGONS,0,1,08/01/14 22:03,
LIKE A STONE,AUDIOSLAVE,0,1,08/01/14 22:07,
ARROWS OF DESIRE,MATTHEW GOOD,0,1,08/01/14 22:11,
LOVE WILL TEAR US APART,JOY DIVISION,0,1,08/01/14 22:15,
LOVE WILL TEAR US APART,JOY DIVISION,0,1,08/01/14 22:19,
SIRENS,PEARL JAM,0,1,08/01/14 22:23,
ALL THESE THINGS THAT I'VE DONE,THE KILLERS,0,1,08/01/14 22:27,
THE GRAND OPTIMIST,CITY&COLOUR,0,1,08/01/14 22:31,
THE GRAND OPTIMIST,CITY&COLOUR,0,1,08/01/14 22:35,
I SAT BY THE OCEAN,QUEENS OF THE STONE AGE,0,1,08/01/14 22:39,
ME HERO,FOO FIGHTERS,0,1,08/01/14 22:43,
BREATHING UNDERWATER,METRIC,0,1,08/01/14 22:47,
THE WALKER,FITZ&THE TANTRUMS,0,1,08/01/14 22:51,
HARLEM,NEW POLITICS,0,1,08/01/14 22:55,
FALLEN LEAVES,BILLY TALENT,0,1,08/01/14 22:59,
BEVERLY HILLS,WEEZER,0,1,08/01/14 23:03,
SO IT GOES,HOLLERADO,0,1,08/01/14 23:07,
LOOKING FOR A PLACE TO HAPPEN,THE TRAGICALLY HIP,0,1,08/01/14 23:11,
DIRTY PAWS,OF MONSTERS AND MEN,0,1,08/01/14 23:15,
SPACEMAN,BIF NAKED,0,1,08/01/14 23:19,
HARD ROAD,SAM ROBERTS,0,1,08/01/14 23:23,
MAKES NO DIFFERENCE,SUM 41,0,1,16/01/14 23:56
I HEARD I HAD,DEAR ROUGE,0,1,17/01/14 00:00
LOSER,BECK,0,1,17/01/14 00:04
THE WALKER,FITZ THE TANTRUMS,0,1,17/01/14 00:08
WELCOME TO PARADISE,GREEN DAY,0,1,17/01/14 00:12
HAD IT COMING,MATTHEW GOOD,0,1,17/01/14 00:16
RECOVERY,FRANK TURNER,0,1,17/01/14 00:20
RECOVERY,FRANK TURNER,0,1,17/01/14 00:24
MOTHER,SAID THE WHALE,0,1,17/01/14 00:28
IN THE END,LINKIN PARK,0,1,17/01/14 00:32
CANNIBAL,SILVERSUN PICKUPS,0,1,17/01/14 00:36
CANNIBAL,SILVERSUN PICKUPS,0,1,17/01/14 00:40
CANNIBAL,SILVERSUN PICKUPS,0,1,17/01/14 00:44
TEMPLE,KINGS OF LEON,0,1,17/01/14 00:48
FELL IN LOVE WITH A GIRL,THE WHITE STRIPES,0,1,17/01/14 00:52
STARSEED,OUR LADY PEACE,0,1,17/01/14 00:56
STARSEED,OUR LADY PEACE,0,1,17/01/14 01:00
AFTERLIFE,ARCADE FIRE,0,1,17/01/14 01:04
AFTERLIFE,ARCADE FIRE,0,1,17/01/14 01:08
PERFECT SITUATION,WEEZER,0,1,17/01/14 01:12
HYSTERIA,MUSE,0,1,17/01/14 01:16
WE'RE ALL IN THIS TOGETHER,SAM ROBERTS,0,1,17/01/14 01:20
I'M AFRAID OF AMERICANS,DAVID BOWIE,0,1,17/01/14 01:24
FOREVER,HAIM,0,1,17/01/14 01:31,
TEAM,LORDE,0,1,17/01/14 08:19,
TEAM,LORDE,0,1,17/01/14 08:23,
MACHINEHEAD,BUSH,0,1,17/01/14 08:27,
MACHINEHEAD,BUSH,0,1,17/01/14 08:31,
MACHINEHEAD,BUSH,0,1,17/01/14 08:35,
WAYS TO GO,GROUPLOVE,0,1,17/01/14 08:39,
WAYS TO GO,GROUPLOVE,0,1,17/01/14 08:43,
WAYS TO GO,GROUPLOVE,0,1,17/01/14 08:47,
LITHIUM,NIRVANA,0,1,17/01/14 08:51,
THE STAND,MOTHER MOTHER,0,1,17/01/14 08:55,
THE STAND,MOTHER MOTHER,0,1,17/01/14 08:59,
COME A LITTLE CLOSER,CAGE THE ELEPHANT,0,1,17/01/14 09:03,
COME A LITTLE CLOSER,CAGE THE ELEPHANT,0,1,17/01/14 09:07,
WELCOME,HEY ROSETTA!,0,1,17/01/14 09:11,
CAPITAL G,NINE INCH NAILS,0,1,17/01/14 09:15,
THE SLO,THE BALCONIES,0,1,17/01/14 09:19,
THE SLO,THE BALCONIES,0,1,17/01/14 09:23,
CLAMPDOWN,THE CLASH,0,1,17/01/14 09:27,
CLAMPDOWN,THE CLASH,0,1,17/01/14 09:31,
THAT SONG,BIG WRECK,0,1,17/01/14 09:35,
THAT SONG,BIG WRECK,0,1,17/01/14 09:39,
I SAT BY THE OCEAN,QUEENS OF THE STONE AGE,0,1,17/01/14 09:43,
HASH PIPE,WEEZER,0,1,17/01/14 09:47,
FEELING GOOD,THE SHEEPDOGS,0,1,17/01/14 09:51,
FEELING GOOD,THE SHEEPDOGS,0,1,17/01/14 09:55,
USE SOMEBODY,KINGS OF LEON,0,1,17/01/14 09:59,
TONIGHT TONIGHT,THE SMASHING PUMPKINS,0,1,17/01/14 10:03,
TONIGHT TONIGHT,THE SMASHING PUMPKINS,0,1,17/01/14 10:07,
IT'S ABOUT TIME,YOUNG THE GIANT,0,1,17/01/14 10:11,
